规范,条文,条文内容
GB50016-2014(2018年版),6.5.3-3,防火分隔部位设置防火卷帘时，应符合下列规定：除本规范另有规定外，防火卷帘的耐火极限不应低于本规范对所设置部位墙体的耐火极限要求。当防火卷帘的耐火极限符合现行国家标准《门和卷帘的耐火试验方法》GB／T?7633有关耐火完整性和耐火隔热性的判定条件时，可不设置自动喷水灭火系统保护。当防火卷帘的耐火极限仅符合现行国家标准《门和卷帘的耐火试验方法》GB／T?7633有关耐火完整性的判定条件时，应设置自动喷水灭火系统保护。自动喷水灭火系统的设计应符合现行国家标准《自动喷水灭火系统设计规范》GB?50084的规定，但火灾延续时间不应小于该防火卷帘的耐火极限。
GB50016-2014(2018年版),6.5.3-4,防火分隔部位设置防火卷帘时，应符合下列规定：防火卷帘应具有防烟性能，与楼板、梁、墙、柱之间的空隙应采用防火封堵材料封堵。
GB50016-2014(2018年版),6.5.3-5,防火分隔部位设置防火卷帘时，应符合下列规定：需在火灾时自动降落的防火卷帘，应具有信号反馈的功能。
GB50016-2014(2018年版),6.5.3-6,防火分隔部位设置防火卷帘时，应符合下列规定：其他要求，应符合现行国家标准《防火卷帘》GB?14102的规定。
GB50016-2014(2018年版),6.7.2-1,建筑外墙采用内保温系统时，保温系统应符合下列规定：对于人员密集场所，用火、燃油、燃气等具有火灾危险性的场所以及各类建筑内的疏散楼梯间、避难走道、避难间、避难层等场所或部位，应采用燃烧性能为A级的保温材料。
GB50016-2014(2018年版),6.7.2-2,建筑外墙采用内保温系统时，保温系统应符合下列规定：对于其他场所，应采用低烟、低毒且燃烧性能不低于B1级的保温材料。
GB50016-2014(2018年版),6.7.2-3,建筑外墙采用内保温系统时，保温系统应符合下列规定：保温系统应采用不燃材料做防护层。采用燃烧性能为B1级的保温材料时，防护层的厚度不应小于10mm。
GB50016-2014(2018年版),6.7.3,建筑外墙采用保温材料与两侧墙体构成无空腔复合保温结构体时，该结构体的耐火极限应符合本规范的有关规定；当保温材料的燃烧性能为B1、B2级时，保温材料两侧的墙体应采用不燃材料且厚度均不应小于50mm。
GB50016-2014(2018年版),6.7.4A-1,除本规范第6.7.3条规定的情况外，下列老年人照料设施的内、外墙体和屋面保温材料应采用燃烧性能为A级的保温材料：独立建造的老年人照料设施；
GB50016-2014(2018年版),6.7.4A-2,除本规范第6.7.3条规定的情况外，下列老年人照料设施的内、外墙体和屋面保温材料应采用燃烧性能为A级的保温材料：与其他建筑组合建造且老年人照料设施部分的总建筑面积大于500m2的老年人照料设施。
GB50016-2014(2018年版),6.7.5-1-1,与基层墙体、装饰层之间无空腔的建筑外墙外保温系统，其保温材料应符合下列规定：住宅建筑：建筑高度大于100m时，保温材料的燃烧性能应为A级：
GB50016-2014(2018年版),6.7.5-1-2,与基层墙体、装饰层之间无空腔的建筑外墙外保温系统，其保温材料应符合下列规定：住宅建筑：建筑高度大于27m，但不大于100m时，保温材料的燃烧性能不应低于B1级；
GB50016-2014(2018年版),6.7.5-1-3,与基层墙体、装饰层之间无空腔的建筑外墙外保温系统，其保温材料应符合下列规定：住宅建筑：建筑高度不大于27m时，保温材料的燃烧性能不应低于B2级。
GB50016-2014(2018年版),6.7.5-2-1,与基层墙体、装饰层之间无空腔的建筑外墙外保温系统，其保温材料应符合下列规定：除住宅建筑和设置人员密集场所的建筑外，其他建筑：建筑高度大于50m时，保温材料的燃烧性能应为A级；
GB50016-2014(2018年版),6.7.5-2-2,与基层墙体、装饰层之间无空腔的建筑外墙外保温系统，其保温材料应符合下列规定：除住宅建筑和设置人员密集场所的建筑外，其他建筑：建筑高度大于24m，但不大于50m时，保温材料的燃烧性能不应低于B1级；
GB50016-2014(2018年版),6.7.5-2-3,与基层墙体、装饰层之间无空腔的建筑外墙外保温系统，其保温材料应符合下列规定：除住宅建筑和设置人员密集场所的建筑外，其他建筑：建筑高度不大于24m时，保温材料的燃烧性能不应低于B2级。
GB50016-2014(2018年版),6.7.6-1,除设置人员密集场所的建筑外，与基层墙体、装饰层之间有空腔的建筑外墙外保温系统，其保温材料应符合下列规定：建筑高度大于24m时，保温材料的燃烧性能应为A级；
GB50016-2014(2018年版),6.7.6-2,除设置人员密集场所的建筑外，与基层墙体、装饰层之间有空腔的建筑外墙外保温系统，其保温材料应符合下列规定：建筑高度不大于24m时，保温材料的燃烧性能不应低于B1级。
GB50016-2014(2018年版),6.7.7-1,除本规范第6.7.3条规定的情况外，当建筑的外墙外保温系统按本节规定采用燃烧性能为B1、B2级的保温材料时，应符合下列规定：除采用B1级保温材料且建筑高度不大于24m的公共建筑或采用B1级保温材料且建筑高度不大于27m的住宅建筑外，建筑外墙上门、窗的耐火完整性不应低于0.50h。
GB50016-2014(2018年版),6.7.7-2,除本规范第6.7.3条规定的情况外，当建筑的外墙外保温系统按本节规定采用燃烧性能为B1、B2级的保温材料时，应符合下列规定：应在保温系统中每层设置水平防火隔离带。防火隔离带应采用燃烧性能为A级的材料，防火隔离带的高度不应小于300mm。
GB50016-2014(2018年版),6.7.8,建筑的外墙外保温系统应采用不燃材料在其表面设置防护层，防护层应将保温材料完全包覆。除本规范第6.7.3条规定的情况外，当按本节规定采用B1、B2级保温材料时，防护层厚度首层不应小于15mm，其他层不应小于5mm。
GB50016-2014(2018年版),6.7.10,建筑的屋面外保温系统，当屋面板的耐火极限不低于1.00h时，保温材料的燃烧性能不应低于B2级；当屋面板的耐火极限低于1.00h时，不应低于B1级。采用B1、B2级保温材料的外保温系统应采用不燃材料作防护层，防护层的厚度不应小于10mm。当建筑的屋面和外墙外保温系统均采用B1、B2级保温材料时，屋面与外墙之间应采用宽度不小于500mm的不燃材料设置防火隔离带进行分隔。
GB50016-2014(2018年版),6.7.12,建筑外墙的装饰层应采用燃烧性能为A级的材料，但建筑高度不大于50m时，可采用B1级材料。
GB50016-2014(2018年版),7.1.1,街区内的道路应考虑消防车的通行，道路中心线间的距离不宜大于160m。当建筑物沿街道部分的长度大于150m或总长度大于220m时，应设置穿过建筑物的消防车道。确有困难时，应设置环形消防车道。
GB50016-2014(2018年版),7.1.2,高层民用建筑，超过3000个座位的体育馆，超过2000个座位的会堂，占地面积大于3000m2的商店建筑、展览建筑等单、多层公共建筑应设置环形消防车道，确有困难时，可沿建筑的两个长边设置消防车道；对于高层住宅建筑和山坡地或河道边临空建造的高层民用建筑，可沿建筑的一个长边设置消防车道，但该长边所在建筑立面应为消防车登高操作面。
GB50016-2014(2018年版),7.1.3,工厂、仓库区内应设置消防车道。高层厂房，占地面积大于3000m2的甲、乙、丙类厂房和占地面积大于1500m2的乙、丙类仓库，应设置环形消防车道，确有困难时，应沿建筑物的两个长边设置消防车道。
GB50016-2014(2018年版),7.1.4,有封闭内院或天井的建筑物，当内院或天井的短边长度大于24m时，宜设置进入内院或天井的消防车道；当该建筑物沿街时，应设置连通街道和内院的人行通道(可利用楼梯间)，其间距不宜大于80m。
GB50016-2014(2018年版),7.1.8-1,消防车道应符合下列要求：车道的净宽度和净空高度均不应小于4.0m；
GB50016-2014(2018年版),7.1.8-2,消防车道应符合下列要求：转弯半径应满足消防车转弯的要求；
GB50016-2014(2018年版),7.1.8-3,消防车道应符合下列要求：消防车道与建筑之间不应设置妨碍消防车操作的树木、架空管线等障碍物；
GB50016-2014(2018年版),7.1.8-4,消防车道应符合下列要求：消防车道靠建筑外墙一侧的边缘距离建筑外墙不宜小于5m；
GB50016-2014(2018年版),7.1.8-5,消防车道应符合下列要求：消防车道的坡度不宜大于8％。
GB50016-2014(2018年版),7.1.9,环形消防车道至少应有两处与其他车道连通。尽头式消防车道应设置回车道或回车场，回车场的面积不应小于12m×12m；对于高层建筑，不宜小于15m×15m；供重型消防车使用时，不宜小于18m×18m。消防车道的路面、救援操作场地、消防车道和救援操作场地下面的管道和暗沟等，应能承受重型消防车的压力。消防车道可利用城乡、厂区道路等，但该道路应满足消防车通行、转弯和停靠的要求。
GB50016-2014(2018年版),7.2.1,高层建筑应至少沿一个长边或周边长度的1／4且不小于一个长边长度的底边连续布置消防车登高操作场地，该范围内的裙房进深不应大于4m。建筑高度不大于50m的建筑，连续布置消防车登高操作场地确有困难时，可间隔布置，但间隔距离不宜大于30m，且消防车登高操作场地的总长度仍应符合上述规定。
GB50016-2014(2018年版),7.2.2-1,消防车登高操作场地应符合下列规定：场地与厂房、仓库、民用建筑之间不应设置妨碍消防车操作的树木、架空管线等障碍物和车库出入口。
GB50016-2014(2018年版),7.2.2-2,消防车登高操作场地应符合下列规定：场地的长度和宽度分别不应小于15m和10m。对于建筑高度大于50m的建筑，场地的长度和宽度分别不应小于20m和10m。
GB50016-2014(2018年版),7.2.2-3,消防车登高操作场地应符合下列规定：场地及其下面的建筑结构、管道和暗沟等，应能承受重型消防车的压力。
GB50016-2014(2018年版),7.2.2-4,消防车登高操作场地应符合下列规定：场地应与消防车道连通，场地靠建筑外墙一侧的边缘距离建筑外墙不宜小于5m，且不应大于10m，场地的坡度不宜大于3％。
GB50016-2014(2018年版),7.2.5,供消防救援人员进入的窗口的净高度和净宽度均不应小于1.0m，下沿距室内地面不宜大于1.2m，间距不宜大于20m且每个防火分区不应少于2个，设置位置应与消防车登高操作场地相对应。窗口的玻璃应易于破碎，并应设置可在室外易于识别的明显标志。
GB50016-2014(2018年版),7.3.1-1,下列建筑应设置消防电梯：建筑高度大于33m的住宅建筑；
GB50016-2014(2018年版),7.3.1-2,下列建筑应设置消防电梯：一类高层公共建筑和建筑高度大于32m的二类高层公共建筑、5层及以上且总建筑面积大于3000m2（包括设置在其他建筑内五层及以上楼层）的老年人照料设施；
GB50016-2014(2018年版),7.3.1-3,下列建筑应设置消防电梯：设置消防电梯的建筑的地下或半地下室，埋深大于10m且总建筑面积大于3000m2的其他地下或半地下建筑(室)。
GB50016-2014(2018年版),7.3.2,消防电梯应分别设置在不同防火分区内，且每个防火分区不应少于1台。
GB50016-2014(2018年版),7.3.3-1,建筑高度大于32m且设置电梯的高层厂房(仓库)，每个防火分区内宜设置1台消防电梯，但符合下列条件的建筑可不设置消防电梯：建筑高度大于32m且设置电梯，任一层工作平台上的人数不超过2人的高层塔架；
GB50016-2014(2018年版),7.3.3-2,建筑高度大于32m且设置电梯的高层厂房(仓库)，每个防火分区内宜设置1台消防电梯，但符合下列条件的建筑可不设置消防电梯：局部建筑高度大于32m，且局部高出部分的每层建筑面积不大于50m2的丁、戊类厂房。
GB50016-2014(2018年版),7.3.5-1,除设置在仓库连廊、冷库穿堂或谷物筒仓工作塔内的消防电梯外，消防电梯应设置前室，并应符合下列规定：前室宜靠外墙设置，并应在首层直通室外或经过长度不大于30m的通道通向室外；
GB50016-2014(2018年版),7.3.5-2,除设置在仓库连廊、冷库穿堂或谷物筒仓工作塔内的消防电梯外，消防电梯应设置前室，并应符合下列规定：前室的使用面积不应小于6.0m2，前室的短边不应小于2.4m；与防烟楼梯间合用的前室，其使用面积尚应符合本规范第5.5.28条和第6.4.3条的规定；
GB50016-2014(2018年版),7.3.5-3,除设置在仓库连廊、冷库穿堂或谷物筒仓工作塔内的消防电梯外，消防电梯应设置前室，并应符合下列规定：除前室的出入口、前室内设置的正压送风口和本规范第5.5.27条规定的户门外，前室内不应开设其他门、窗、洞口；
GB50016-2014(2018年版),7.3.5-4,除设置在仓库连廊、冷库穿堂或谷物筒仓工作塔内的消防电梯外，消防电梯应设置前室，并应符合下列规定：前室或合用前室的门应采用乙级防火门，不应设置卷帘。
GB50016-2014(2018年版),7.3.7,消防电梯的井底应设置排水设施，排水井的容量不应小于2m3，排水泵的排水量不应小于10L／s。消防电梯间前室的门口宜设置挡水设施。
GB50016-2014(2018年版),7.3.8-1,消防电梯应符合下列规定：应能每层停靠；
GB50016-2014(2018年版),7.3.8-2,消防电梯应符合下列规定：电梯的载重量不应小于800kg；
GB50016-2014(2018年版),7.3.8-3,消防电梯应符合下列规定：电梯从首层至顶层的运行时间不宜大于60s；
GB50016-2014(2018年版),7.3.8-4,消防电梯应符合下列规定：电梯的动力与控制电缆、电线、控制面板应采取防水措施；
GB50016-2014(2018年版),7.3.8-5,消防电梯应符合下列规定：在首层的消防电梯入口处应设置供消防队员专用的操作按钮；
GB50016-2014(2018年版),7.3.8-6,消防电梯应符合下列规定：电梯轿厢的内部装修应采用不燃材料；
GB50016-2014(2018年版),7.3.8-7,消防电梯应符合下列规定：电梯轿厢内部应设置专用消防对讲电话。
GB50016-2014(2018年版),7.4.1,建筑高度大于100m且标准层建筑面积大于2000m2的公共建筑，宜在屋顶设置直升机停机坪或供直升机救助的设施。
GB50016-2014(2018年版),7.4.2-1,直升机停机坪应符合下列规定：设置在屋顶平台上时，距离设备机房、电梯机房、水箱间、共用天线等突出物不应小于5m；
GB50016-2014(2018年版),7.4.2-2,直升机停机坪应符合下列规定：建筑通向停机坪的出口不应少于2个，每个出口的宽度不宜小于0.90m；
GB50016-2014(2018年版),7.4.2-3,直升机停机坪应符合下列规定：四周应设置航空障碍灯，并应设置应急照明；
GB50016-2014(2018年版),7.4.2-4,直升机停机坪应符合下列规定：在停机坪的适当位置应设置消火栓；
GB50016-2014(2018年版),7.4.2-5,直升机停机坪应符合下列规定：其他要求应符合国家现行航空管理有关标准的规定。
GB50016-2014(2018年版),8.1.2,城镇(包括居住区、商业区、开发区、工业区等)应沿可通行消防车的街道设置市政消火栓系统。民用建筑、厂房、仓库、储罐(区)和堆场周围应设置室外消火栓系统。用于消防救援和消防车停靠的屋面上，应设置室外消火栓系统。注：耐火等级不低于二级且建筑体积不大于3000m3的戊类厂房，居住区人数不超过500人且建筑层数不超过两层的居住区，可不设置室外消火栓系统。
GB50016-2014(2018年版),8.1.3-1,自动喷水灭火系统、水喷雾灭火系统、泡沫灭火系统和固定消防炮灭火系统等系统以及下列建筑的室内消火栓给水系统应设置消防水泵接合器：超过5层的公共建筑；
GB50016-2014(2018年版),8.1.3-2,自动喷水灭火系统、水喷雾灭火系统、泡沫灭火系统和固定消防炮灭火系统等系统以及下列建筑的室内消火栓给水系统应设置消防水泵接合器：超过4层的厂房或仓库；
GB50016-2014(2018年版),8.1.3-3,自动喷水灭火系统、水喷雾灭火系统、泡沫灭火系统和固定消防炮灭火系统等系统以及下列建筑的室内消火栓给水系统应设置消防水泵接合器：其他高层建筑；
GB50016-2014(2018年版),8.1.3-4,自动喷水灭火系统、水喷雾灭火系统、泡沫灭火系统和固定消防炮灭火系统等系统以及下列建筑的室内消火栓给水系统应设置消防水泵接合器：超过2层或建筑面积大于10000m2的地下建筑(室)。
GB50016-2014(2018年版),8.1.4,甲、乙、丙类液体储罐(区)内的储罐应设置移动水枪或固定水冷却设施。高度大于15m或单罐容积大于2000m3的甲、乙、丙类液体地上储罐，宜采用固定水冷却设施。
GB50016-2014(2018年版),8.1.5,总容积大于50m3或单罐容积大于20m3的液化石油气储罐(区)应设置固定水冷却设施，埋地的液化石油气储罐可不设置固定喷水冷却装置。总容积不大于50m3或单罐容积不大于20m3的液化石油气储罐(区)，应设置移动式水枪。
GB50016-2014(2018年版),8.1.6-1,消防水泵房的设置应符合下列规定：单独建造的消防水泵房，其耐火等级不应低于二级；
GB50016-2014(2018年版),8.1.6-2,消防水泵房的设置应符合下列规定：附设在建筑内的消防水泵房，不应设置在地下三层及以下或室内地面与室外出入口地坪高差大于10m的地下楼层；
GB50016-2014(2018年版),8.1.6-3,消防水泵房的设置应符合下列规定：疏散门应直通室外或安全出口。
GB50016-2014(2018年版),8.2.1-1,下列建筑或场所应设置室内消火栓系统：建筑占地面积大于300m2的厂房和仓库；
GB50016-2014(2018年版),8.2.1-2,下列建筑或场所应设置室内消火栓系统：高层公共建筑和建筑高度大于21m的住宅建筑；注：建筑高度不大于27m的住宅建筑，设置室内消火栓系统确有困难时，可只设置干式消防竖管和不带消火栓箱的DN65的室内消火栓。
GB50016-2014(2018年版),8.2.1-3,下列建筑或场所应设置室内消火栓系统：体积大于5000m3的车站、码头、机场的候车(船、机)建筑、展览建筑、商店建筑、旅馆建筑、医疗建筑、老年人照料设施和图书馆建筑等单、多层建筑；
GB50016-2014(2018年版),8.2.1-4,下列建筑或场所应设置室内消火栓系统：特等、甲等剧场，超过800个座位的其他等级的剧场和电影院等以及超过1200个座位的礼堂、体育馆等单、多层建筑；
GB50016-2014(2018年版),8.2.1-5,下列建筑或场所应设置室内消火栓系统：建筑高度大于15m或体积大于10000m3的办公建筑、教学建筑和其他单、多层民用建筑。
GB50016-2014(2018年版),8.2.2-1,本规范第8.2.1条未规定的建筑或场所和符合本规范第8.2.1条规定的下列建筑或场所，可不设置室内消火栓系统，但宜设置消防软管卷盘或轻便消防水龙：耐火等级为一、二级且可燃物较少的单、多层丁、戊类厂房(仓库)。
GB50016-2014(2018年版),8.2.2-2,本规范第8.2.1条未规定的建筑或场所和符合本规范第8.2.1条规定的下列建筑或场所，可不设置室内消火栓系统，但宜设置消防软管卷盘或轻便消防水龙：耐火等级为三、四级且建筑体积不大于3000m3的丁类厂房；耐火等级为三、四级且建筑体积不大于5000m3的戊类厂房(仓库)。
GB50016-2014(2018年版),8.2.2-3,本规范第8.2.1条未规定的建筑或场所和符合本规范第8.2.1条规定的下列建筑或场所，可不设置室内消火栓系统，但宜设置消防软管卷盘或轻便消防水龙：粮食仓库、金库、远离城镇且无人值班的独立建筑。
GB50016-2014(2018年版),8.2.2-4,本规范第8.2.1条未规定的建筑或场所和符合本规范第8.2.1条规定的下列建筑或场所，可不设置室内消火栓系统，但宜设置消防软管卷盘或轻便消防水龙：存有与水接触能引起燃烧爆炸的物品的建筑。
GB50016-2014(2018年版),8.2.2-5,本规范第8.2.1条未规定的建筑或场所和符合本规范第8.2.1条规定的下列建筑或场所，可不设置室内消火栓系统，但宜设置消防软管卷盘或轻便消防水龙：室内无生产、生活给水管道，室外消防用水取自储水池且建筑体积不大于5000m3的其他建筑。
GB50016-2014(2018年版),8.2.4,人员密集的公共建筑、建筑高度大于100m的建筑和建筑面积大于200m2的商业服务网点内应设置消防软管卷盘或轻便消防水龙。高层住宅建筑的户内宜配置轻便消防水龙。老年人照料设施内应设置与室内供水系统直接连接的消防软管卷盘，消防软管卷盘的设置间距不应大于30.0m。
GB50016-2014(2018年版),8.3.1-1,除本规范另有规定和不宜用水保护或灭火的场所外，下列厂房或生产部位应设置自动灭火系统，并宜采用自动喷水灭火系统：不小于50000纱锭的棉纺厂的开包、清花车间，不小于5000锭的麻纺厂的分级、梳麻车间，火柴厂的烤梗、筛选部位；
GB50016-2014(2018年版),8.3.1-2,除本规范另有规定和不宜用水保护或灭火的场所外，下列厂房或生产部位应设置自动灭火系统，并宜采用自动喷水灭火系统：占地面积大于1500m2或总建筑面积大于3000m2的单、多层制鞋、制衣、玩具及电子等类似生产的厂房；
GB50016-2014(2018年版),8.3.1-3,除本规范另有规定和不宜用水保护或灭火的场所外，下列厂房或生产部位应设置自动灭火系统，并宜采用自动喷水灭火系统：占地面积大于1500m2的木器厂房；
GB50016-2014(2018年版),8.3.1-4,除本规范另有规定和不宜用水保护或灭火的场所外，下列厂房或生产部位应设置自动灭火系统，并宜采用自动喷水灭火系统：泡沫塑料厂的预发、成型、切片、压花部位；
GB50016-2014(2018年版),8.3.1-5,除本规范另有规定和不宜用水保护或灭火的场所外，下列厂房或生产部位应设置自动灭火系统，并宜采用自动喷水灭火系统：高层乙、丙类厂房；
GB50016-2014(2018年版),8.3.1-6,除本规范另有规定和不宜用水保护或灭火的场所外，下列厂房或生产部位应设置自动灭火系统，并宜采用自动喷水灭火系统：建筑面积大于500m2的地下或半地下丙类厂房。
GB50016-2014(2018年版),8.3.2-1,除本规范另有规定和不宜用水保护或灭火的仓库外，下列仓库应设置自动灭火系统，并宜采用自动喷水灭火系统：每座占地面积大于1000m2的棉、毛、丝、麻、化纤、毛皮及其制品的仓库；注：单层占地面积不大于2000m2的棉花库房，可不设置自动喷水灭火系统。
GB50016-2014(2018年版),8.3.2-2,除本规范另有规定和不宜用水保护或灭火的仓库外，下列仓库应设置自动灭火系统，并宜采用自动喷水灭火系统：每座占地面积大于600m2的火柴仓库；
GB50016-2014(2018年版),8.3.2-3,除本规范另有规定和不宜用水保护或灭火的仓库外，下列仓库应设置自动灭火系统，并宜采用自动喷水灭火系统：邮政建筑内建筑面积大于500m2的空邮袋库；
GB50016-2014(2018年版),8.3.2-4,除本规范另有规定和不宜用水保护或灭火的仓库外，下列仓库应设置自动灭火系统，并宜采用自动喷水灭火系统：可燃、难燃物品的高架仓库和高层仓库；
GB50016-2014(2018年版),8.3.2-5,除本规范另有规定和不宜用水保护或灭火的仓库外，下列仓库应设置自动灭火系统，并宜采用自动喷水灭火系统：设计温度高于0℃的高架冷库，设计温度高于0℃且每个防火分区建筑面积大于1500m2的非高架冷库；
GB50016-2014(2018年版),8.3.2-6,除本规范另有规定和不宜用水保护或灭火的仓库外，下列仓库应设置自动灭火系统，并宜采用自动喷水灭火系统：总建筑面积大于500m2的可燃物品地下仓库；
GB50016-2014(2018年版),8.3.2-7,除本规范另有规定和不宜用水保护或灭火的仓库外，下列仓库应设置自动灭火系统，并宜采用自动喷水灭火系统：每座占地面积大于1500m2或总建筑面积大于3000m2的其他单层或多层丙类物品仓库。
GB50016-2014(2018年版),8.3.3-1,除本规范另有规定和不宜用水保护或灭火的场所外，下列高层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：一类高层公共建筑(除游泳池、溜冰场外)及其地下、半地下室：
GB50016-2014(2018年版),8.3.3-2,除本规范另有规定和不宜用水保护或灭火的场所外，下列高层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：二类高层公共建筑及其地下、半地下室的公共活动用房、走道、办公室和旅馆的客房、可燃物品库房、自动扶梯底部；
GB50016-2014(2018年版),8.3.3-3,除本规范另有规定和不宜用水保护或灭火的场所外，下列高层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：高层民用建筑内的歌舞娱乐放映游艺场所；
GB50016-2014(2018年版),8.3.3-4,除本规范另有规定和不宜用水保护或灭火的场所外，下列高层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：建筑高度大于100m的住宅建筑。
GB50016-2014(2018年版),8.3.4-1,除本规范另有规定和不适用水保护或灭火的场所外，下列单、多层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：特等、甲等剧场，超过1500个座位的其他等级的剧场，超过2000个座位的会堂或礼堂，超过3000个座位的体育馆，超过5000人的体育场的室内人员休息室与器材间等；
GB50016-2014(2018年版),8.3.4-2,除本规范另有规定和不适用水保护或灭火的场所外，下列单、多层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：任一层建筑面积大于1500m2或总建筑面积大于3000m2的展览、商店、餐饮和旅馆建筑以及医院中同样建筑规模的病房楼、门诊楼和手术部；
GB50016-2014(2018年版),8.3.4-3,除本规范另有规定和不适用水保护或灭火的场所外，下列单、多层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：设置送回风道(管)的集中空气调节系统且总建筑面积大于3000m2的办公建筑等；
GB50016-2014(2018年版),8.3.4-4,除本规范另有规定和不适用水保护或灭火的场所外，下列单、多层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：藏书量超过50万册的图书馆；
GB50016-2014(2018年版),8.3.4-5,除本规范另有规定和不适用水保护或灭火的场所外，下列单、多层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：大、中型幼儿园，老年人照料设施；
GB50016-2014(2018年版),8.3.4-6,除本规范另有规定和不适用水保护或灭火的场所外，下列单、多层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：总建筑面积大于500m2的地下或半地下商店；
GB50016-2014(2018年版),8.3.4-7,除本规范另有规定和不适用水保护或灭火的场所外，下列单、多层民用建筑或场所应设置自动灭火系统，并宜采用自动喷水灭火系统：设置在地下或半地下或地上四层及以上楼层的歌舞娱乐放映游艺场所(除游泳场所外)，设置在首层、二层和三层且任一层建筑面积大于300m2的地上歌舞娱乐放映游艺场所(除游泳场所外)。
GB50016-2014(2018年版),8.3.7-1,下列建筑或部位应设置雨淋自动喷水灭火系统：火柴厂的氯酸钾压碾厂房，建筑面积大于100m2且生产或使用硝化棉、喷漆棉、火胶棉、赛璐珞胶片、硝化纤维的厂房；
GB50016-2014(2018年版),8.3.7-2,下列建筑或部位应设置雨淋自动喷水灭火系统：乒乓球厂的轧坯、切片、磨球、分球检验部位；
GB50016-2014(2018年版),8.3.7-3,下列建筑或部位应设置雨淋自动喷水灭火系统：建筑面积大于60m2或储存量大于2t的硝化棉、喷漆棉、火胶棉、赛璐珞胶片、硝化纤维的仓库；
GB50016-2014(2018年版),8.3.7-4,下列建筑或部位应设置雨淋自动喷水灭火系统：日装瓶数量大于3000瓶的液化石油气储配站的灌瓶间、实瓶库；
GB50016-2014(2018年版),8.3.7-5,下列建筑或部位应设置雨淋自动喷水灭火系统：特等、甲等剧场、超过1500个座位的其他等级剧场和超过2000个座位的会堂或礼堂的舞台葡萄架下部；
GB50016-2014(2018年版),8.3.7-6,下列建筑或部位应设置雨淋自动喷水灭火系统：建筑面积不小于400m2的演播室，建筑面积不小于500m2的电影摄影棚。
GB50016-2014(2018年版),8.3.8-1,下列场所应设置自动灭火系统，并宜采用水喷雾灭火系统：单台容量在40MV·A及以上的厂矿企业油浸变压器，单台容量在90MV·A及以上的电厂油浸变压器，单台容量在125MV·A及以上的独立变电站油浸变压器；
GB50016-2014(2018年版),8.3.8-2,下列场所应设置自动灭火系统，并宜采用水喷雾灭火系统：飞机发动机试验台的试车部位；
GB50016-2014(2018年版),8.3.8-3,下列场所应设置自动灭火系统，并宜采用水喷雾灭火系统：充可燃油并设置在高层民用建筑内的高压电容器和多油开关室。注：设置在室内的油浸变压器、充可燃油的高压电容器和多油开关室，可采用细水雾灭火系统。
GB50016-2014(2018年版),8.3.10-1,甲、乙、丙类液体储罐的灭火系统设置应符合下列规定：单罐容量大于1000m3的固定顶罐应设置固定式泡沫灭火系统；
GB50016-2014(2018年版),8.3.10-2,甲、乙、丙类液体储罐的灭火系统设置应符合下列规定：罐壁高度小于7m或容量不大于200m3的储罐可采用移动式泡沫灭火系统；
GB50016-2014(2018年版),8.3.10-3,甲、乙、丙类液体储罐的灭火系统设置应符合下列规定：其他储罐宜采用半固定式泡沫灭火系统；
GB50016-2014(2018年版),8.3.10-4,甲、乙、丙类液体储罐的灭火系统设置应符合下列规定：石油库、石油化工、石油天然气工程中甲、乙、丙类液体储罐的灭火系统设置，应符合现行国家标准《石油库设计规范》GB?50074等标准的规定。
GB50016-2014(2018年版),8.3.11,餐厅建筑面积大于1000m2的餐馆或食堂，其烹饪操作间的排油烟罩及烹饪部位应设置自动灭火装置，并应在燃气或燃油管道上设置与自动灭火装置联动的自动切断装置。食品工业加工场所内有明火作业或高温食用油的食品加工部位宜设置自动灭火装置。
GB50016-2014(2018年版),8.4.1-1,下列建筑或场所应设置火灾自动报警系统：任一层建筑面积大于1500m2或总建筑面积大于3000m2的制鞋、制衣、玩具、电子等类似用途的厂房；
GB50016-2014(2018年版),8.4.1-2,下列建筑或场所应设置火灾自动报警系统：每座占地面积大于1000m2的棉、毛、丝、麻、化纤及其制品的仓库，占地面积大于500m2或总建筑面积大于1000m2的卷烟仓库；
GB50016-2014(2018年版),8.4.1-3,下列建筑或场所应设置火灾自动报警系统：任一层建筑面积大于1500m2或总建筑面积大于3000m2的商店、展览、财贸金融、客运和货运等类似用途的建筑，总建筑面积大于500m2的地下或半地下商店；
GB50016-2014(2018年版),8.4.1-4,下列建筑或场所应设置火灾自动报警系统：图书或文物的珍藏库，每座藏书超过50万册的图书馆，重要的档案馆；
GB50016-2014(2018年版),8.4.1-5,下列建筑或场所应设置火灾自动报警系统：地市级及以上广播电视建筑、邮政建筑、电信建筑，城市或区域性电力、交通和防灾等指挥调度建筑；
